segment                                   peek  keep  take  seal  free
spin_341                                     0     0     0     0     0
spin_340                                     0     0     0     0     0
spin_338                                     0     0     0     0     0
spin_337                                     0     0     0     0     0
spin_33                                      0     0     0     0     0
spin_327                                     0     0     0     0     0
spin_325                                     0     0     0     0     0
spin_324                                     0     0     0     0     0
spin_323                                     0     0     0     0     0
spin_322                                     0     0     0     0     0
spin_321                                     0     0     0     0     0
spin_32                                      0     0     0     0     0
spin_317                                     0     0     0     0     0
spin_316                                     0     0     0     0     0
spin_315                                     0     0     0     0     0
spin_311                                     0     0     0     0     0
spin_308                                     0     0     0     0     0
spin_306                                     0     0     0     0     0
spin_305                                     0     0     0     0     0
spin_304                                     0     0     0     0     0
spin_302                                     0     0     0     0     0
spin_301                                     0     0     0     0     0
spin_300                                     0     0     0     0     0
spin_3                                       0     0     0     0     0
spin_298                                     0     0     0     0     0
spin_296                                     0     0     0     0     0
spin_295                                     0     0     0     0     0
spin_292                                     1     0     0     0     0
spin_291                                     1     0     0     0     0
spin_288                                     0     0     0     0     0
spin_287                                     0     0     0     0     0
spin_286                                     0     0     0     0     0
spin_282                                     0     0     0     0     0
spin_281                                     0     0     0     0     0
spin_280                                     0     0     0     0     0
spin_278                                     0     0     0     0     0
spin_277                                     0     0     0     0     0
spin_276                                     0     0     0     0     0
spin_273                                     0     0     0     0     0
spin_271                                     0     0     0     0     0
spin_270                                     0     0     0     0     0
spin_27                                      0     0     0     0     0
spin_268                                     0     0     0     0     0
spin_267                                     0     0     0     0     0
spin_265                                     0     0     0     0     0
spin_262                                     0     0     0     0     0
spin_260                                     0     0     0     0     0
spin_258                                     0     0     0     0     0
spin_257                                     1     0     0     0     0
spin_252                                     0     0     0     0     0
spin_250                                     0     0     0     0     0
spin_249                                     0     0     0     0     0
spin_246                                     0     0     0     0     0
spin_242                                     0     0     0     0     0
spin_241                                     0     0     0     0     0
spin_238                                     1     0     0     0     0
spin_236                                     1     0     0     0     0
spin_235                                     0     0     0     0     0
spin_233                                     0     0     0     0     0
spin_227                                     0     0     0     0     0
spin_222                                     0     0     0     0     0
spin_221                                     0     0     0     0     0
spin_22                                      0     0     0     0     0
spin_218                                     0     0     0     0     0
spin_216                                     0     0     0     0     0
spin_21                                      0     0     0     0     0
spin_208                                     0     0     0     0     0
spin_207                                     0     0     0     0     0
spin_205                                     1     0     0     0     0
spin_2                                       0     0     0     0     0
spin_199                                     1     0     0     0     0
spin_198                                     0     0     0     0     0
spin_197                                     0     0     0     0     0
spin_195                                     0     0     0     0     0
spin_194                                     1     0     0     0     0
spin_192                                     0     0     0     0     0
spin_190                                     0     0     0     0     0
