segment                                   peek  keep  take  seal  free
FID_F64_DG_STEP_K261                         0     1     0     0     0
FID_F64_DG_STEP_K260                         0     1     0     0     0
FID_F64_DG_STEP_K259                         0     1     0     0     0
FID_F64_DG_STEP_K254                         0     1     0     0     0
FID_F64_DG_SCALE_K540                        0     1     0     0     0
FID_F64_DG_SCALE                             0     1     0     0     0
FID_F64_DG_FIX_K544                          0     1     0     0     0
FID_F64_DG_DIGIT_K186                        0     1     0     0     0
FID_ENCODE_KEYS_KT_GO                        0     0     1     0     0
FID_ENCODE_FCTX_ROOT                         0     0     1     0     0
FID_ENCODE_ENCODE                            0     1     0     0     0
FID_ENCODE_EMIT_K1229                        0     1     0     0     0
FID_ENCODE_CTX_ROOT                          0     1     0     0     0
FID_ENCODE_CTX_FIELD_K1108                   0     1     0     0     0
FID_ENCODE_CTX_FIELD_K1107                   0     1     0     0     0
FID_DECODE_X_NORM_K800                       0     0     0     1     0
FID_DECODE_SCAN_GO                           0     0     1     0     0
FID_DECODE_QSET                              0     0     1     0     0
FID_DECODE_PRIMS_GO                          0     0     1     0     0
FID_DECODE_MERGE_PUT                         0     0     0     1     0
FID_DECODE_LK_HEAD                           0     0     1     0     0
FID_DECODE_LIT                               0     0     1     0     0
FID_DECODE_LEN_FITS                          0     1     0     0     0
FID_DECODE_LEN_BODY                          0     1     0     0     0
FID_DECODE_KV_K238                           0     1     0     0     0
FID_DECODE_HDR_D_K115                        0     1     0     0     0
FID_DECODE_HDR_B                             0     1     0     0     0
FID_DECODE_FIELDS_GO                         0     0     1     0     0
FID_DECODE_EXPAND_K1068                      0     1     0     0     0
FID_DECODE_EAT_K496                          0     1     0     0     0
FID_CLI_VALIDATE_K1483                       0     1     0     0     0
FID_CLI_VALIDATE_K1482                       0     1     0     0     0
FID_CLI_VALIDATE_K1481                       0     1     0     0     0
FID_CLI_RESOLVE                              0     1     0     0     0
FID_CLI_INT_SHOW                             0     1     0     0     0
FID_CLI_INT_BEYOND                           0     1     0     0     0
FID_CLI_CONVERT                              0     1     0     0     0
FID_CLI_BEST_ONE_K1286                       0     1     0     0     0
FID_CLI_BEST_ONE_K1284                       0     1     0     0     0
FID_CLI_BEST_GO                              0     0     1     0     0
FID_BIGNAT_STRIP                             0     0     1     0     0
FID_BIGNAT_SHR                               0     1     0     0     0
FID_BIGNAT_SHL_BITS                          0     0     1     0     0
FID_BIGNAT_MUL_SMALL                         0     0     1     0     0
FID_BIGNAT_FROM_DEC                          0     0     1     0     0
FID_BIGNAT_DIV_STEP_K440                     0     1     0     0     0
spin_99                                      0     0     0     0     0
spin_98                                      0     0     0     0     0
spin_97                                      0     0     0     0     0
spin_93                                      0     0     0     0     0
spin_91                                      0     0     0     0     0
spin_90                                      2     0     0     0     0
spin_89                                      1     0     0     0     0
spin_88                                      0     0     0     0     0
spin_87                                      0     0     0     0     0
spin_84                                      0     0     0     0     0
spin_83                                      0     0     0     0     0
spin_81                                      0     0     0     0     0
spin_80                                      0     0     0     0     0
spin_77                                      0     0     0     0     0
spin_75                                      0     0     0     0     0
spin_73                                      0     0     0     0     0
spin_71                                      0     0     0     0     0
spin_70                                      0     0     0     0     0
spin_7                                       0     0     0     0     0
spin_68                                      0     0     0     0     0
spin_67                                      0     0     0     0     0
spin_65                                      0     0     0     0     0
spin_60                                      0     0     0     0     0
spin_59                                      0     0     0     0     0
spin_58                                      0     0     0     0     0
spin_57                                      0     0     0     0     0
spin_56                                      0     0     0     0     0
spin_55                                      0     0     0     0     0
spin_53                                      0     0     0     0     0
spin_52                                      0     0     0     0     0
spin_50                                      0     0     0     0     0
spin_5                                       0     0     0     0     0
spin_48                                      0     0     0     0     0
spin_46                                      0     0     0     0     0
spin_45                                      0     0     0     0     0
spin_438                                     0     0     0     0     0
spin_437                                     0     0     0     0     0
spin_436                                     0     0     0     0     0
spin_434                                     0     0     0     0     0
spin_433                                     0     0     0     0     0
spin_432                                     0     0     0     0     0
spin_431                                     0     0     0     0     0
spin_429                                     0     0     0     0     0
spin_427                                     0     0     0     0     0
spin_426                                     0     0     0     0     0
spin_423                                     1     0     0     0     0
spin_422                                     0     0     0     0     0
spin_421                                     0     0     0     0     0
spin_42                                      0     0     0     0     0
spin_416                                     1     0     0     0     0
