Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_GO_K1838
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_STEP
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_STEP_K1755
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_TOK_WORD
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_IO_PURE
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_LIST_APPEND
  0.00      4.24     0.00        2     0.00     0.00  spin_448
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1798
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1799
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1800
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_CONVERT_K1629
  0.00      4.24     0.00        1     0.00     0.23  WL_FID_CLI_CONVERT_K1637
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_FLAG_AFTER
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_FLAG_AFTER_K1686
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_ON_PLAIN
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_ON_PLAIN_K1767
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_ON_TOK_K1856
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_PARSE
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_PARSE_K1928
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_PARSE_K1929
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_PARSE_K1930
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_TOKS
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_TOKS_K1894
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_VALIDATE
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_CLI_WORD_SET
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_CTX_ROOT
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_CTX_ROOT_K1269
